"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"COPS6",2.03320508819342e-06,0.326355608208742,0.852,0.511,0.0245387522094064,"2","COPS6"
"GOSR2",2.06541802578898e-06,0.261754432678751,0.605,0.292,0.0249275301532472,"2","GOSR2"
"CACNA1B",2.08356522023194e-06,0.269127363205647,0.321,0.118,0.0251465486429793,"2","CACNA1B"
"RAB6A",2.08446903040446e-06,0.336444861355739,0.84,0.587,0.0251574567279515,"2","RAB6A"
"DIPK2A",2.13863064651692e-06,0.263953448467864,0.42,0.175,0.0258111332728128,"2","DIPK2A"
"RNH1",2.14666347710652e-06,0.310794327601633,0.605,0.314,0.0259080815051986,"2","RNH1"
"CAMTA2",2.15888735638941e-06,0.255573850592605,0.395,0.161,0.0260556115042638,"2","CAMTA2"
"SSX2IP",2.22547901052582e-06,0.468695390925266,0.568,0.306,0.0268593061780361,"2","SSX2IP"
"SPART",2.28442781999324e-06,0.292582574665161,0.605,0.303,0.0275707593594985,"2","SPART"
"DLK1",2.30002829315836e-06,0.690926936748221,0.37,0.159,0.0277590414701282,"2","DLK1"
"ASS1",2.31045942505976e-06,0.349457285304599,0.37,0.149,0.0278849348010463,"2","ASS1"
"CKB2",2.37818143152105e-06,0.559310930096996,1,0.893,0.0287022716970275,"2","CKB"
"PHYHIPL",2.45641052971188e-06,0.482324432384511,0.864,0.76,0.0296464186830926,"2","PHYHIPL"
"ZDHHC4",2.56641728560654e-06,0.304046825614653,0.469,0.216,0.0309740902199854,"2","ZDHHC4"
"PMPCB",2.57050682957318e-06,0.285817717467259,0.84,0.483,0.0310234469261188,"2","PMPCB"
"ADAM22",2.61980837666889e-06,0.255111753434568,0.37,0.148,0.0316184672980169,"2","ADAM22"
"HMGB2",2.63628090566361e-06,0.521654279419066,0.543,0.284,0.0318172742504541,"2","HMGB2"
"DDX6",2.66485124201846e-06,0.287974310265038,0.963,0.878,0.0321620896399208,"2","DDX6"
"RNF4",2.67888831502218e-06,0.281142739362489,0.63,0.319,0.0323315030740027,"2","RNF4"
"IGF2R",2.67903640519163e-06,0.29265581423615,0.395,0.168,0.0323332903742578,"2","IGF2R"
"BMPR1B",2.71416813969064e-06,0.281642201039933,0.21,0.059,0.0327572952779263,"2","BMPR1B"
"WBP11",2.8847582987939e-06,0.319607966646968,0.531,0.262,0.0348161479081436,"2","WBP11"
"WASF2",2.91958182851294e-06,0.320694868586561,0.494,0.236,0.0352364330883227,"2","WASF2"
"PKIA1",2.94646951288614e-06,0.535701553101599,0.864,0.751,0.0355609405510228,"2","PKIA"
"XPC",2.95737835800207e-06,0.342368431580611,0.37,0.159,0.0356925994027269,"2","XPC"
"SPOPL",2.98545681975713e-06,0.268116968466628,0.346,0.137,0.0360314783576488,"2","SPOPL"
"ZNF821",3.07679326653054e-06,0.262198082896628,0.444,0.194,0.0371338179337571,"2","ZNF821"
"COL2A1",3.10900027851982e-06,0.360092931657775,0.506,0.234,0.0375225243614557,"2","COL2A1"
"NISCH",3.14032215797671e-06,0.299504944064331,0.901,0.755,0.037900548124621,"2","NISCH"
"ZNF496",3.1798969932757e-06,0.261525388020062,0.432,0.19,0.0383781768118445,"2","ZNF496"
"GSTM3",3.2357040719499e-06,0.31461732993818,0.889,0.685,0.0390517124443634,"2","GSTM3"
"HECTD4",3.24353516440542e-06,0.267980601432083,0.617,0.306,0.039146225899209,"2","HECTD4"
"MARCH5",3.26029550671498e-06,0.295119680655968,0.765,0.439,0.0393485064705432,"2","MARCH5"
"SPTSSA",3.26067759717885e-06,0.256189924674376,0.667,0.351,0.0393531179203515,"2","SPTSSA"
"CHTOP",3.26815206300965e-06,0.260008884926922,0.654,0.338,0.0394433272484635,"2","CHTOP"
"ATP8B2",3.2791577626444e-06,0.253680406809295,0.494,0.225,0.0395761550373552,"2","ATP8B2"
"SECISBP2",3.30963184948462e-06,0.28286741983195,0.691,0.371,0.0399439467914299,"2","SECISBP2"
"ZNF783",3.34282560521791e-06,0.271169828388423,0.506,0.24,0.0403445622293749,"2","ZNF783"
"IARS2",3.35323177724842e-06,0.256872211299005,0.617,0.303,0.0404701543196112,"2","IARS2"
"IGDCC4",3.36534164121914e-06,0.25937906690958,0.605,0.301,0.0406163082678739,"2","IGDCC4"
"ACAP2",3.38760698021514e-06,0.252383746381065,0.667,0.327,0.0408850286442165,"2","ACAP2"
"DNM1",3.48893266884915e-06,0.325652286328746,0.691,0.395,0.0421079283803404,"2","DNM1"
"MAP4",3.49259777947319e-06,0.355195553569649,0.889,0.793,0.042152162600462,"2","MAP4"
"MAD2L2",3.50696954171399e-06,0.271909122605021,0.654,0.349,0.0423256153989462,"2","MAD2L2"
"FAF1",3.51290279666455e-06,0.271315134187171,0.605,0.306,0.0423972238529445,"2","FAF1"
"NRCAM",3.58344432515732e-06,0.346432548609416,0.877,0.625,0.0432485895603237,"2","NRCAM"
"XRN1",3.62178759341005e-06,0.271156437305253,0.593,0.292,0.0437113544648658,"2","XRN1"
"SLC6A9",3.6424425927448e-06,0.271169828388423,0.494,0.229,0.043960639651837,"2","SLC6A9"
"DPY19L4",3.68090566723508e-06,0.256872211299005,0.457,0.207,0.0444248504978602,"2","DPY19L4"
"NCOR1",3.72333903834011e-06,0.361267423237002,0.852,0.697,0.0449369788537268,"2","NCOR1"
"POLR2H",3.72472323130602e-06,0.28286741983195,0.84,0.53,0.0449536846786324,"2","POLR2H"
"PPP6C",3.877809397422e-06,0.272183784833188,0.704,0.389,0.0468012816174862,"2","PPP6C"
"PODXL",4.10367659500493e-06,0.409723699382376,0.37,0.162,0.0495272728251145,"2","PODXL"
"DNAJA3",4.20814694198805e-06,0.263423796137782,0.519,0.242,0.0507881254428538,"2","DNAJA3"
"C1orf21",4.33369537186908e-06,0.296443947200616,0.716,0.399,0.0523033694430879,"2","C1orf21"
"AMPH",4.46350233529739e-06,0.263953448467864,0.432,0.188,0.0538700096847042,"2","AMPH"
"CDRT4",4.48948643204552e-06,0.253551853007394,0.444,0.196,0.0541836117483574,"2","CDRT4"
"PHF3",4.59864932356881e-06,0.316240133099151,0.63,0.347,0.055501098686152,"2","PHF3"
